id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
845309,Fab Frenchmen Maison on the Park,4413148,Deborah,,Marigny,29.96609,-90.05718,Entire home/apt,475,4,172,2021-05-03,1.47,1,93,0,"19STR-08005, 20-OSTR-0809"
851999,Fab Apt with Perfect Park Porch,4448274,Carolee,,Leonidas,29.95565,-90.12383,Entire home/apt,132,31,109,2022-04-07,0.93,2,255,3,City registration pending
866070,NOLA house 3 blocks from streetcar,2488332,Caitlin,,East Carrollton,29.94795,-90.12494,Entire home/apt,50,30,80,2019-12-07,0.68,1,178,0,City registration pending
872905,"City Park, Mid City, Safe area near Streetcar Stop",4606010,Monica,,City Park,29.98148,-90.09697,Entire home/apt,125,30,58,2021-11-05,0.50,1,67,1,17STR-09025
873413,Mansion in the Garden District,4271460,Christian,,Central City,29.93505,-90.08166,Entire home/apt,900,3,74,2022-06-05,0.63,4,54,3,"17STR-10632, 19-OSTR-0000"
880981,New Orleans Spacious Apt. Sleeps 6 On Canal Street,4660356,Maria Poole,,Mid-City,29.97237,-90.09663,Entire home/apt,152,2,209,2021-01-03,1.79,1,100,0,"19STR-21673, 19-OSTR-00000"
882473,Historic Apt in Magical Marigny,4669579,Mary,,Marigny,29.96712,-90.05075,Entire home/apt,185,3,174,2022-07-05,1.49,1,270,24,"19STR-00000, 19-OSTR-0000"
885010,private getaway near french quarter,4688828,Cleotis,,St. Claude,29.97043,-90.0476,Entire home/apt,75,30,115,2017-07-02,0.98,1,0,0,City registration pending
885246,HUGE Historic Warehouse District Condo,4690952,Ashley,,Central Business District,29.94499,-90.07222,Entire home/apt,286,30,11,2022-05-15,0.12,1,313,1,17STR-05155
891764,Retro Cottage near Bayou/ Jazz Fest,897324,Renee,,Fairgrounds,29.98209,-90.08431,Entire home/apt,60,30,76,2022-04-07,0.66,1,30,3,
894371,"Marigny Oak House, French Quarter 3 Blocks Away",4761426,Joseph,,Marigny,29.96798,-90.06134,Entire home/apt,56,2,494,2022-09-05,4.38,5,233,64,"19STR-10521, 20-OSTR-22692"
895626,"Walk to Tulane, The Purple Room of the Treehouse",4772370,Laurie,,Audubon,29.93823,-90.11176,Private room,78,1,260,2022-08-20,2.23,3,322,40,"20STR-21678, 20-OSTR-21677"
896188,"Artist, LGBTQ, pet friendly, NOLA!",660021,Holis,,Mid-City,29.97495,-90.11019,Entire home/apt,82,30,137,2020-02-27,1.17,1,149,0,19STR-22225
896343,"Meticulous:SUITE #1 Beautiful 2-BED,UPTOWN/Audubon",4778949,Rob,,West Riverside,29.92048,-90.12346,Entire home/apt,269,2,36,2022-08-22,0.33,2,341,10,"45STR-56876, 45-OSTR-5687"
896501,"Immaculate: SWEET SUITE #2,Two-Bed UPTOWN AUDUBON",4778949,Rob,,Audubon,29.92345,-90.12261,Entire home/apt,219,3,31,2022-07-04,0.29,2,267,6,"45STR-56877, 45-OSTR-5687"
896709,Modern Home Near French Quarter,4782391,Marc,,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,278,30,50,2020-02-23,0.43,1,364,0,17STR-05820
898208,Lower Garden District Apartment,4792572,Lucas,,Lower Garden District,29.92729,-90.07521,Entire home/apt,102,4,172,2022-05-09,1.47,1,0,22,"20RSTR-33494, 19-OSTR-27480"
898632,TulaneUniv/Pool-3 ppl plus if fly. but No parties,4370699,Deborah,,Audubon,29.94574,-90.11839,Entire home/apt,240,1,72,2022-09-05,0.62,1,170,16,"21-RSTR-15107, 20-OSTR-01124"
898685,3 blocks from the St. Charles streetcar!,4796527,Jackson,,Central City,29.93694,-90.08212,Entire home/apt,79,2,463,2022-08-23,3.99,1,36,68,"19STR-20426, 19-OSTR-7038"
899644,Stay by the streetcar at The Cottage!,4802918,Mark,,City Park,29.98015,-90.0949,Entire home/apt,125,2,29,2019-05-05,0.25,1,87,0,"22-RSTR-04358, 22-OSTR-06228"
900084,Rent whole Townhouse in Uptown,4805726,Adam,,Uptown,29.93276,-90.10265,Entire home/apt,1000,30,0,,,1,0,0,
900210,val blu,4806326,Joey,,Freret,29.93552,-90.10923,Entire home/apt,127,30,18,2022-03-13,0.20,3,190,3,
900337,2 Bedroom Suite in Uptown New Orleans,4807949,Judith,,Uptown,29.92074,-90.1069,Entire home/apt,250,2,22,2022-04-24,0.19,1,135,4,"19STR-21729, 20-OSTR-2143"
900608,French Quarter Beauty,4810197,Jazz,,French Quarter,29.95978,-90.06505,Entire home/apt,199,30,17,2018-01-29,0.18,1,365,0,City registration pending
901827,Traditional Lower Garden District 2 bdrm apt,11372242,Thiamanti,,Central City,29.93668,-90.07614,Entire home/apt,129,2,325,2022-07-21,2.78,40,34,28,"20STR-29680, 20-OSTR-00788"
901876,Walk to Tulane -Bright Sunny Room of the Treehouse,4772370,Laurie,,Audubon,29.93823,-90.11151,Private room,70,1,256,2022-09-02,2.20,3,325,47,"20STR-21678, 20-OSTR-21677"
904440,Garden District Darling-close to Magazine/Downtown,4837716,Minh & Diane,,St. Thomas Dev,29.92633,-90.07281,Entire home/apt,359,2,93,2022-08-21,0.90,1,145,32,"19STR-20898, 19-OSTR-0000"
904990,"Gem Condo, Soul of Arts District",4841202,Matilde,,Lower Garden District,29.94449,-90.06751,Entire home/apt,73,120,9,2022-09-04,0.08,2,0,1,17STR-09828
905897,Walk to Bourbon St/FQ-Unique Private 1BR w/Balcony,4847397,Jeb And Scott,,Treme - Lafitte,29.96642,-90.06939,Entire home/apt,133,3,334,2022-08-30,2.88,2,301,39,"19str-20145, 19-OSTR-7034"
905957,Enchanting Guest Suite on Magazine Street,4848052,Jordan And Justin,,Lower Garden District,29.92933,-90.07834,Private room,84,2,51,2020-03-03,0.75,1,0,0,"18STR-16215, 20-OSTR-01613"
906101,Loft Bywtr-Marigny GR8T LOCATION,2671376,Ruby Dee,,St. Claude,29.96979,-90.04808,Entire home/apt,69,3,237,2022-05-29,2.03,5,105,8,"20STR-01981, 20-OSTR-01981"
908231,Spacious Broadmoor Townhome- Central to Everything,4866349,Dawn,,Broadmoor,29.95201,-90.10369,Entire home/apt,300,3,49,2022-05-15,0.60,1,223,1,"21-RSTR-11877, 20-OSTR-11879"
910912,Bayou St John Historic Home,4887507,Roxanne And Tim,,Bayou St. John,29.97885,-90.08411,Entire home/apt,329,2,95,2022-07-31,0.99,2,238,21,"17STR-11100, 20-OSTR-0000"
912681,Sunny Marigny / Bywater gem w/Private Balcony!,4896043,Bekah And Brian,,Bywater,29.96747,-90.05048,Entire home/apt,96,3,350,2022-07-04,3.01,1,21,15,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
914407,Parks-Bowman Mansion: The Red Room,4795675,Adrienne,,Garden District,29.92956,-90.08393,Private room,101,1,540,2022-08-21,4.66,3,298,60,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
914581,Parks-Bowman Mansion: The Haunted Bedroom,4795675,Adrienne,,Garden District,29.92928,-90.08214,Private room,110,1,472,2022-08-22,4.07,3,297,59,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.9294,-90.08436,Private room,119,1,698,2022-08-18,5.98,3,216,94,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
917965,"Prime location, garden district with gated pk,grey",4900663,Karen,,Lower Garden District,29.93409,-90.07562,Entire home/apt,282,3,177,2022-07-30,1.52,3,234,34,"20str-10136, 20-OSTR-1013"
918511,Convenient  Mid City Apartment,4931906,Todd & Kristi,,City Park,29.98117,-90.09053,Entire home/apt,135,30,213,2020-03-16,1.82,1,365,0,17STR-09029
921154,🏊🏻‍♂️Tropical Pool after Day N FRENCH QRT 🏳️‍🌈20STR-02763,4951914,Thom,,Marigny,29.966976,-90.050941,Entire home/apt,249,2,198,2022-09-05,2.73,4,265,37,"20STR-02763, 20-OSTR-02768"
931412,Historic Carriage House & Courtyard,4993714,Mimsie,,East Riverside,29.91909,-90.08563,Entire home/apt,183,30,163,2022-06-12,1.72,1,359,8,"20STR-33234, 20-OSTR-33233"
938165,Sophisticated Styled Estate 40% Off Fall/Winter,4605202,Wayne,,Fairgrounds,29.9799,-90.08212,Entire home/apt,359,3,167,2022-07-31,1.47,4,100,9,"22-RSTR-05145, 22-OSTR-05140"
938262,"Elegant Uptown New Orleans, near Universities",5067495,Sarah Hansel,,Audubon,29.93421,-90.11811,Private room,114,30,6,2018-07-22,0.11,1,0,0,18STR-08517
944351,"1Red Suite HotTub,Pool,pet.Private Entrance",4981655,Jim And Mikki,,Lower Garden District,29.93846,-90.06831,Hotel room,44,2,191,2022-08-28,1.68,16,32,16,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
945787,"2 White Suite ,HotTub/SpaPool,pet$",4981655,Jim And Mikki,,Lower Garden District,29.93846,-90.06831,Private room,36,2,224,2022-08-28,1.93,16,39,23,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
945961,"4  Hollywood, HotTub,Pool,pet.Private Entrance",4981655,Jim And Mikki,,Lower Garden District,29.93846,-90.06831,Hotel room,57,2,150,2022-08-17,1.30,16,40,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
945986,"7  Jazz Suite,Completely private Hot Tub/Pool/Pet",4981655,Jim And Mikki,,Lower Garden District,29.93846,-90.06831,Hotel room,38,2,173,2022-09-01,1.95,16,39,18,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
947400,Cozy One Bedroom NOLA Apartment,5134411,Jessica,,Lower Garden District,29.93185,-90.07035,Entire home/apt,109,1,575,2022-07-05,4.97,1,126,78,"22RSTR-05564, 22-OSTR-13626"
956635,"New Orleans Rental, Esplanade Ridge",5199957,Fred And Renee,,Fairgrounds,29.98323,-90.0866,Entire home/apt,75,30,116,2021-11-09,1.10,1,236,3,19STR-22503
959230,Blue spot,2156820,J,,Broadmoor,29.94629,-90.1009,Private room,51,30,244,2020-03-18,2.16,4,0,0,18STR-13663
959286,Yellow Spot,2156820,J,,Broadmoor,29.94653,-90.09941,Private room,51,30,199,2020-05-04,1.78,4,0,0,18STR-13663
959307,Green Spot,2156820,J,,Broadmoor,29.94712,-90.10121,Private room,51,30,205,2020-03-08,1.83,4,0,0,18STR-13663
967567,Treme Creole Cottage,5278748,Lolis,,Treme - Lafitte,29.96625,-90.06758,Entire home/apt,150,2,360,2022-08-20,3.12,1,98,42,"17STR-17374, 20-OSTR-0000"
969714,The New Orleans Sweeeet Retreat,5154893,Leila,,Holy Cross,29.95668,-90.00772,Entire home/apt,299,3,1,2020-02-26,0.03,12,89,0,
984827,"6  Fleur De Lis Suite, Completely private Pool/Pet",4981655,Jim And Mikki,,Lower Garden District,29.93761,-90.06711,Hotel room,81,2,228,2022-09-02,2.11,16,21,43,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
984836,"3 Champagne Suite HotTub,Pool,pet.Private Entrance",4981655,Jim And Mikki,,Lower Garden District,29.93837,-90.06861,Hotel room,36,2,79,2022-08-28,0.83,16,47,7,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
995213,Legal Rental : Elegant Lower Garden District Home,5465617,Dawn-Marie,,Lower Garden District,29.93839,-90.07349,Entire home/apt,450,3,113,2022-05-31,0.99,1,331,12,"19STR-21121, 19-OSTR-02403"
997365,Big Easy Condo(close to the action),5480237,Big Easy Management,,Treme - Lafitte,29.96288,-90.06642,Entire home/apt,92,1,273,2022-08-24,2.38,2,220,27,"21STR-11239, 21-OSTR-11239"
1011019,Mid City Apartment with Pool Access,2355432,Danielle,,Mid-City,29.96925,-90.0995,Entire home/apt,150,30,64,2018-07-09,0.56,1,365,0,17STR-04979
1016337,Fun Studio steps to French Quarter!,929283,Warren,,Marigny,29.96501,-90.06122,Entire home/apt,115,4,335,2022-08-22,2.92,1,64,35,"20STR-02911, 21-OSTR-02910"
1018723,Vibrant TREMÈ Jazz Shotgun/5 min FQ/Streetcar Walk,5607947,Jenna,,Treme - Lafitte,29.96439,-90.06782,Entire home/apt,106,30,203,2020-03-09,1.78,1,0,0,19STR-05694
1021784,Charming House with Movie Room,5555764,Chris,,Fillmore,30.00877,-90.07375,Entire home/apt,429,2,71,2021-06-13,0.66,3,39,0,"19STR-25625, 20-OSTR-8796"
1042528,Bayou St. John Studio,5739566,Brooke And Eliot,,Bayou St. John,29.9765,-90.08845,Entire home/apt,100,2,322,2022-07-06,2.82,1,21,38,"19STR-16824, 20-ostr-02659"
1048233,Musical & cultural extravaganza!,5770796,Sylvia,,Marigny,29.96407,-90.05789,Entire home/apt,207,2,223,2022-09-05,1.96,2,51,14,"17STR-07703, 20-OSTR-0135"
1056897,$95 per Night in January 2018! - New Year Special!,5821538,Georgia,,Lower Garden District,29.93417,-90.07281,Private room,109,30,205,2020-03-08,1.89,2,365,0,city registration pending
1065034,Hotel Storyville -A New Orleans Inn,5860857,Barbara,,Seventh Ward,29.96751,-90.0655,Entire home/apt,129,2,90,2022-07-05,1.37,13,25,13,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1073455,Native New Orleans. Bywater near Crescent park.,5904943,Roger And Rico,,Bywater,29.95967,-90.04474,Entire home/apt,69,30,73,2022-05-28,0.64,1,208,1,19STR-22298
1092214,$95 a Night in January 2018! - New Year’s Special!,5821538,Georgia,,Lower Garden District,29.9361,-90.07196,Private room,125,30,153,2020-02-26,1.35,2,365,0,City registration pending
1094521,Pet Friendly Maison du Madison,6013357,Elisa,,Bywater,29.96743,-90.04974,Entire home/apt,85,2,306,2022-08-26,4.42,1,298,62,"17STR-06648, 17-OSTR-0664"
1100195,The Harlequin House,6043636,Jordan,,Treme - Lafitte,29.97406,-90.07702,Private room,50,30,199,2018-04-13,1.75,1,0,0,17STR-16651
1103936,~Mid City Oasis~,6062935,Deanie,,City Park,29.98048,-90.09927,Entire home/apt,300,2,101,2022-09-05,1.30,1,306,20,"17STR-08434, 20-ostr-02165"
1116726,"Walk to Bourbon St/FQ, Soak in jetted tub at night",4847397,Jeb And Scott,,Treme - Lafitte,29.96642,-90.06939,Entire home/apt,173,2,296,2022-09-05,2.60,2,305,23,"19STR-20145, 19-OSTR-7034"
1174901,Home Sweet Home By The River,4163388,N L,,Holy Cross,29.95915,-90.02643,Entire home/apt,110,30,6,2019-01-01,0.05,2,0,0,17STR-19404
1186700,FQ/Marigny Creole Cottage Beauty - Great Location!,4710746,Sara,,Marigny,29.96501,-90.06108,Entire home/apt,671,2,170,2022-08-15,1.88,1,294,25,"21STR-10524, 21ostr-00123"
1187616,Private Room in Mid-City,6494296,Daniel,,Mid-City,29.97302,-90.09915,Private room,65,100,8,2019-04-18,0.16,1,0,0,
1201040,"Garden Dist. Charmer w/lge yard, porch & Streetcar",262235,Liz,,Central City,29.931547,-90.087914,Entire home/apt,393,2,61,2022-09-04,0.60,1,347,12,"19STR-20373, 20-OSTR-0178"
1223458,Studio in shared courtyard,2269325,Heather,,Fairgrounds,29.98175,-90.08409,Entire home/apt,68,90,14,2022-04-03,0.14,1,89,2,17STR-08181
1283353,Beautiful Bywater Shotgun w/ Bikes!,5316723,Gabrielle,,St. Claude,29.96774,-90.03713,Entire home/apt,105,2,452,2022-08-20,4.05,1,15,47,"20STR-02145, 19-OSTR-00000"
1295314,Bywater Wonderland ✨✨✨✨Like living in a dream,4880969,Alice,,Bywater,29.96304,-90.04044,Entire home/apt,187,30,25,2022-07-14,0.23,2,275,2,
1316954,"New Orleans 1br Suite, Avenue Plaza",7054805,Eric,,Central City,29.93423,-90.08124,Entire home/apt,208,30,15,2019-04-15,0.14,1,358,0,
1317697,FANTASTIC FRENCH QUARTER SUITE !,2677753,Regina,,Central Business District,29.95142,-90.06738,Entire home/apt,463,7,1,2015-01-02,0.01,2,161,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1331004,Ursulines Historic Creole Cottage 3 bed/2 bath,323664718,Nichole,,Treme - Lafitte,29.96586,-90.06397,Entire home/apt,162,1,118,2022-08-14,1.13,29,91,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1352100,Lemon Tree Manor in Bywater,7338169,Susan,,Bywater,29.96197,-90.04433,Entire home/apt,180,3,253,2022-07-14,2.33,1,295,32,"20RSTR-31016, 20-OSTR-31012"
1377453,"Couples/Family Getaway, Quiet Strong WiFi Mid-City",64823547,Brenna And Nick,,Mid-City,29.96983,-90.09935,Entire home/apt,87,30,268,2020-03-23,2.41,52,233,0,"17STR-04024, 19-OSTR-0000"
